Model;Rule;Num persons
PSYCOP;PartNeg;41
PSYCOP;EmptyStart;43
PSYCOP;FiguralRule;24
PSYCOP;NegativityRule;49
PSYCOP;ParticularityRule;49
Matching;PartNeg;70
Matching;EmptyStart;18
Matching;FiguralRule;12
Matching;NegativityRule;32
Matching;ParticularityRule;17
VerbalModels;PartNeg;56
VerbalModels;EmptyStart;22
VerbalModels;FiguralRule;16
VerbalModels;NegativityRule;34
VerbalModels;ParticularityRule;16
MMT;PartNeg;63
MMT;EmptyStart;18
MMT;FiguralRule;11
MMT;NegativityRule;33
MMT;ParticularityRule;14
Conversion;PartNeg;48
Conversion;EmptyStart;28
Conversion;FiguralRule;37
Conversion;NegativityRule;58
Conversion;ParticularityRule;58
PHM;PartNeg;61
PHM;EmptyStart;19
PHM;FiguralRule;18
PHM;NegativityRule;31
PHM;ParticularityRule;14
Atmosphere;PartNeg;62
Atmosphere;EmptyStart;21
Atmosphere;FiguralRule;12
Atmosphere;NegativityRule;40
Atmosphere;ParticularityRule;18
